name,location,rooms,area,floor,type,price
"Apartament 3 Camere Decomandat, Mobilat, 98 mp, Pret Promo!","Bucuresti, zona Pipera",3,91, 1/4,Dec.,157.000
"Apartament 2 Camere, Finisaje Lux, Mutare Imediata","Bucuresti, Sector 4, zona Brâncoveanu (Berceni)",2,54, 2/7,Dec.,71.750
"Apartament 2 Camere, Finisaje Lux, Direct Dezvoltator","Bucuresti, Sector 4, zona Brâncoveanu (Berceni)",2,56, 1/7,Dec.,66.500
Duplex Parter 3 Camere Tip 1D Cloud 9 Residence Aviatiei,"Bucuresti, Sector 2, zona Aviaţiei (Aviatiei)",3,95.97,Parter/11,Semidec.,190.000
"Apartament 3 camere Brancoveanu, Finisaje Lux","Bucuresti, Sector 4, zona Brâncoveanu (Berceni)",3,88, 1/7,Dec.,104.500
Apartament 2 camere Nou Sector 4+Parcare,"Bucuresti, Sector 4, zona Berceni",2,60, 1/6,Dec.,69.000
APARTAMENT 2 CAMERE DECOMANDAT OFERTA PROMOTIONALA!,"Bucuresti, Sector 6, zona Militari",2,50, 1/5,Dec.,47.900
"Garsonieră De Lux, Predare August, 3Min Stb","Bucuresti, Sector 4, zona Brancoveanu (Berceni)",o,40, 2/8,Dec.,48.000
Apartament 2 camere decomandat! Finalizat! Direct dezvoltator! Comision 0%,"Bucuresti, Sector 6, zona Militari",2,50, 1/7,Dec.,56.900
GARSONIERA DECOMANDATA ! DIRECT DEZVOLTATOR ! COMISION 0%,"Bucuresti, Sector 6, zona Militari",o,27, 1/5,Dec.,27.900
AVANGARDE CITY GARSONIERA32 mp utili,"Bucuresti, Sector 6, zona Militari",o,32, 4/7,Dec.,35.900
Dezvoltator New Confort City-Apartament-bucatarie inchisa/centrala proprie- Comision%!,"Bucuresti, Sector 3, zona Splaiul Unirii (Unirii)",2,65, 10/11,Semidec.,62.951
Dezvoltator Apartament 3 camere Militari Pacii Viscolului Residence,"Bucuresti, Sector 6, zona Militari",3,70, 3/3,Dec.,76.500
"Dezvoltator Apartament 2 camere, Metrou Aparatorii Patriei, Dezvoltator,mutare rapida","Bucuresti, Sector 4, zona Berceni",2,57.3, 1/9,Dec.,79.900
TITAN 4 RESIDENCE III -DIRECT DEZVOLTATOR - APT 3 CAMERE  PRET PROMOTIONAL,"Bucuresti, Sector 3, zona Titan",3,95, 1/3,Dec.,115.300
"Penthouse cu 2 dormitoare, camera dressing+living, 3 terase Stefan cel Mare","Bucuresti, Sector 1, zona Floreasca",3,122.39, 14/15,Dec.,525.000
