price,priceRounded,priceRange,eur/mp,areaRaw,areaRounded,totalArea,areaRange,rooms,no_of_levels,location
85.00,85,69-95k,1115,76.20,76,No data,67-85mp,3,P+1E, Sud
132.50,133,128-139k,1060,125.00,125,No data,112-127mp,4,P+1E+M,Central
85.00,85,69-95k,1466,58.00,58,No data,45-65mp,3,P+1E,Central
76.00,76,69-95k,1267,60.00,60,100,45-65mp,3,No data, Sud
119.52,120,118-126k,892,134.00,134,No data,130-145mp,4,No data, Sud
85.00,85,69-95k,1000,85.00,85,No data,67-85mp,5,No data, Sud
110.00,110,100-115k,1058,104.00,104,No data,90-110mp,4,No data, Sud
125.80,126,118-126k,1006,125.00,125,No data,112-127mp,4,No data, Sud
100.00,100,100-115k,800,125.00,125,No data,112-127mp,0,No data,No data
130.00,130,128-139k,1130,115.00,115,No data,112-127mp,4,No data,Central
85.00,85,69-95k,1000,85.00,85,No data,67-85mp,5,No data,No data
160.00,160,160-175k,1333,120.00,120,No data,112-127mp,5,No data, Sud
110.00,110,100-115k,1058,104.00,104,No data,90-110mp,4,No data, Sud
165.00,165,160-175k,1435,115.00,115,No data,112-127mp,4,No data, Sud
195.00,195,179-199k,1300,150.00,150,No data,150-164mp,5,No data, Sud
95.00,95,69-95k,950,100.00,100,No data,90-110mp,5,No data,Central
85.00,85,69-95k,708,120.00,120,No data,112-127mp,3,No data,Central
164.50,165,160-175k,1192,138.00,138,No data,130-145mp,5,No data,No data
155.00,155,140-155k,1615,96.00,96,No data,90-110mp,4,No data,Central
90.00,90,69-95k,1500,60.00,60,No data,45-65mp,3,No data,Central
85.00,85,69-95k,1037,82.00,82,No data,67-85mp,3,No data,Central
185.00,185,179-199k,411,450.00,450,No data,Over 300mp,9,No data, Sud
110.00,110,100-115k,1058,104.00,104,100,90-110mp,4,No data, Sud
90.00,90,69-95k,1500,60.00,60,250,45-65mp,3,No data,Est
85.00,85,69-95k,944,90.00,90,No data,90-110mp,3,No data,No data
200.00,200,200-250k,1250,160.00,160,No data,150-164mp,6,No data, Sud
195.00,195,179-199k,1219,160.00,160,No data,150-164mp,5,No data, Sud
179.00,179,179-199k,1140,157.00,157,No data,150-164mp,4,No data, Sud
210.00,210,200-250k,1400,150.00,150,No data,150-164mp,5,No data, Sud
289.00,289,255-295k,1376,210.00,210,No data,191-210mp,7,No data, Sud
94.99,95,69-95k,950,100.00,100,No data,90-110mp,5,No data,Central
179.00,179,179-199k,1140,157.00,157,No data,150-164mp,4,No data, Sud
105.00,105,100-115k,840,125.00,125,No data,112-127mp,4,No data,Est
129.00,129,128-139k,1032,125.00,125,No data,112-127mp,4,No data, Sud
229.00,229,200-250k,1151,199.00,199,No data,191-210mp,5,No data, Sud
135.00,135,128-139k,1089,124.00,124,No data,112-127mp,5,No data,No data
160.00,160,160-175k,1067,150.00,150,200,150-164mp,5,No data, Sud
550.00,550,Over 300,1833,300.00,300,No data,273-300mp,6,S+P+1E+M, Sud
200.00,200,200-250k,1504,133.00,133,No data,130-145mp,6,P+2E, Sud
219.00,219,200-250k,1460,150.00,150,No data,150-164mp,4,P+1E+M,Central
550.00,550,Over 300,1833,300.00,300,500,273-300mp,6,No data, Sud
165.00,165,160-175k,917,180.00,180,1000,170-190mp,5,No data, Sud
85.00,85,69-95k,1037,82.00,82,No data,67-85mp,3,P+1E,Central
85.00,85,69-95k,1012,84.00,84,No data,67-85mp,3,P+1E, Sud
295.00,295,255-295k,983,300.00,300,No data,273-300mp,7,D+P+1E, Sud
174.90,175,160-175k,1158,151.00,151,No data,150-164mp,4,P+1E, Sud
220.00,220,200-250k,803,274.00,274,250,273-300mp,7,No data, Sud
138.90,139,128-139k,1263,110.00,110,No data,90-110mp,4,P+1E+M,No data
110.00,110,100-115k,1048,105.00,105,No data,90-110mp,4,P+1E, Sud
250.00,250,200-250k,1969,127.00,127,No data,112-127mp,4,P+2E+M,Nord
200.00,200,200-250k,1538,130.00,130,No data,130-145mp,5,P+2E,Central
